product_name,our_price,category,current_stock,restock_threshold,restock_date,supplier
Organic Coffee Beans (1lb),14.99,Beverages,45,25.0,2024-11-15,Bean Bros
Premium Green Tea (50 bags),8.99,Beverages,32,20.0,2024-11-10,Tea Imports
Masala Chai Mix (12oz),9.99,Beverages,18,15.0,2024-11-18,Spice World
Yerba Mate Loose Leaf (1lb),12.99,Beverages,5,10.0,2024-11-01,South America Ltd
Hot Chocolate Mix (1lb),7.99,Beverages,50,30.0,2024-11-12,Sweet Treats
Earl Grey Tea (100 bags),11.99,Beverages,28,25.0,2024-11-14,Tea Time Imports
Espresso Beans (1lb),16.99,Beverages,22,20.0,2024-11-16,Bean Bros
Chamomile Tea (30 bags),6.99,Tea,12,15.0,2024-11-05,Tea Time Imports
Matcha Green Tea Powder (4oz),19.99,Beverages,8,,2024-11-17,Tea Imports
Decaf Coffee Beans (1lb),15.99,Beverages,15,15.0,2024-11-13,Bean Bros
Mint Tea (25 bags),7.49,Beverages,out of stock,12.0,2024-10-30,Tea Imports
Instant Coffee (8oz),11.99,Coffee,25,20.0,2024-11-19,Coffee Corp
Rooibos Tea (40 bags),,Beverages,30,20.0,2024-11-08,Tea Time Imports
Cold Brew Concentrate,13.99,Beverages,19,15.0,2024-11-20,Bean Bros
